year,name,n
1910,JAN,2.6
1911,JAN,3.5
1912,JAN,3
1913,JAN,3.5
1914,JAN,2.8
1915,JAN,3
1916,JAN,6.3
1917,JAN,1.1
1918,JAN,2.6
1919,JAN,2.4
1920,JAN,3.9
1921,JAN,5.8
1922,JAN,2.9
1923,JAN,4.9
1924,JAN,3.8
1925,JAN,4.6
1926,JAN,3.9
1927,JAN,3.8
1928,JAN,4.2
1929,JAN,1.1
1930,JAN,4.3
1931,JAN,2.6
1932,JAN,5.5
1933,JAN,1.9
1934,JAN,4
1935,JAN,4
1936,JAN,2.6
1937,JAN,4.3
1938,JAN,4.7
1939,JAN,3
1940,JAN,1.1
1941,JAN,0.1
1942,JAN,1
1943,JAN,3.9
1944,JAN,5.1
1945,JAN,0.2
1946,JAN,2.6
1947,JAN,1.8
1948,JAN,3.8
1949,JAN,4.6
1950,JAN,3.9
1951,JAN,2.9
1952,JAN,1.7
1953,JAN,3.2
1954,JAN,2.6
1955,JAN,1.8
1956,JAN,2.7
1957,JAN,4.5
1958,JAN,2.6
1959,JAN,0.9
1960,JAN,3.1
1961,JAN,2.7
1962,JAN,3.6
1963,JAN,1.8
1964,JAN,3.3
1965,JAN,2.4
1966,JAN,2.2
1967,JAN,3.7
1968,JAN,3.5
1969,JAN,4.4
1970,JAN,3
1971,JAN,3.9
1972,JAN,3.1
1973,JAN,3.9
1974,JAN,5
1975,JAN,5.3
1976,JAN,4.5
1977,JAN,1.9
1978,JAN,2.3
1979,JAN,0.5
1980,JAN,1.8
1981,JAN,3.8
1982,JAN,2.3
1983,JAN,5.4
1984,JAN,2.3
1985,JAN,0.4
1986,JAN,2.5
1987,JAN,0.7
1988,JAN,4.1
1989,JAN,5.8
1990,JAN,5.5
1991,JAN,2.6
1992,JAN,3.6
1993,JAN,4.7
1994,JAN,4
1995,JAN,3.5
1996,JAN,3.9
1997,JAN,2.2
1998,JAN,4.3
1999,JAN,4.5
2000,JAN,4.3
2001,JAN,2.6
2002,JAN,5
2003,JAN,3.7
2004,JAN,4.4
2005,JAN,5.3
2006,JAN,3.9
2007,JAN,5.9
2008,JAN,5.3
2009,JAN,2.8
2010,JAN,0.9
2011,JAN,3.1
2012,JAN,4.7
2013,JAN,3.3
2014,JAN,4.8
2015,JAN,3.7
2016,JAN,4.6
2017,JAN,3.9
2018,JAN,4.1
2019,JAN,3.7
1910,FEB,3.9
1911,FEB,4
1912,FEB,4.2
1913,FEB,4.2
1914,FEB,5.5
1915,FEB,3.1
